,going left to right per row and then going down each row; the jumping back to column 0 of row i+1,,,,,,,,,,,,,,,
,Location ,time batch (per 15 seconds),,,,,,225,,,,,,,,
row,column,ppk control 1 15 min at 4x speed 3min 52 sec,,,,,,,,,Time per entry,,average time,,,
,,1:26,1:27,,86,87,,344,348,,4,,,,,
,,1:38,1:40,,98,100,,392,400,,8,,,,,
,,2:25,2:26,,145,146,,580,584,,4,,,,,
,,2:52,2:55,,172,175,,688,700,,12,,,,,
,,2:52,2:53,,172,173,,688,692,,4,,,,,
,,2:57,2:59,,177,179,,708,716,,8,,,,,
9,9,0:08,0:11,,8,11,,32,44,,12,,8,,,
,,1:27,1:28,,87,88,,348,352,,4,,,,,
,,1:36,1:38,,96,98,,384,392,,8,,,,,
9,10,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
10,1,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
10,2,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
10,3,0:27,0:31,,27,31,,108,124,,16,,12,,,
,,1:26,1:28,,86,88,,344,352,,8,,,,,
,,2:08,2:11,,128,131,,512,524,,12,,,,,
10,4,0:25,0:27,,25,27,,100,108,,8,,10,,,
,,0:31,0:33,,31,33,,124,132,,8,,,,,
,,1:52,1:55,,112,115,,448,460,,12,,,,,
,,2:05,2:08,,125,128,,500,512,,12,,,,,
10,5,0:19,0:19,,19,20,,76,80,,4,,8.8,,,
,,0:22,0:25,,22,25,,88,100,,12,,,,,
,,0:33,0:36,,33,36,,132,144,,12,,,,,
,,1:55,1:57,,115,117,,460,468,,8,,,,,
,,2:18,2:20,,138,140,,552,560,,8,,,,,
10,6,0:19,0:21,,19,21,,76,84,,8,,8,,,
,,2:20,2:22,,140,142,,560,568,,8,,,,,
10,7,2:22,2:24,,142,144,,568,576,,8,,8,,,
,,3:26,3:28,,206,208,,824,832,,8,,,,,
10,8,0:57,0:59,,57,59,,228,236,,8,,6.666666667,,,
,,1:25,1:26,,85,86,,340,344,,4,,,,,
,,2:55,2:57,,175,177,,700,708,,8,,,,,
10,9,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
10,10,-1,-1,,-1,-1,,-1,-1,,-1,,-1,,,
,,,,,,,,,,,,,,,,
,,,,,223,225,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,225,,,,,,,,,,
