,going left to right per row and then going down each row; the jumping back to column 0 of row i+1,,,,,,,,,,,,,,,
,Location ,time batch (per 15 seconds),,,,,,225,,,,,,,,
row,column,ppk control 1 15 min at 4x speed 3min 52 sec,,,,,,,,,Time per entry,,average time,,,
,,3:11,3:14,,191,194,,764,776,,12,,,,,
,,3:15,3:16,,195,196,,780,784,,4,,,,,
6,5,0:00,0:04,,0,4,,0,16,,16,,12,,,
,,0:36,0:44,,36,44,,144,176,,32,,,,,
,,0:42,0:46,,42,46,,168,184,,16,,,,,
,,0:46,0:49,,46,49,,184,196,,12,,,,,
,,1:01,1:04,,61,64,,244,256,,12,,,,,
,,1:03,1:04,,63,64,,252,256,,4,,,,,
,,1:05,1:06,,65,66,,260,264,,4,,,,,
,,1:08,1:09,,68,69,,272,276,,4,,,,,
,,1:24,1:26,,84,86,,336,344,,8,,,,,
,,1:40,1:44,,100,104,,400,416,,16,,,,,
,,2:22,2:27,,142,147,,568,588,,20,,,,,
,,2:34,2:35,,154,155,,616,620,,4,,,,,
,,2:38,2:40,,158,160,,632,640,,8,,,,,
,,2:39,2:41,,159,161,,636,644,,8,,,,,
,,3:01,3:06,,181,186,,724,744,,20,,,,,
,,3:08,3:11,,188,191,,752,764,,12,,,,,
,,3:13,3:15,,193,195,,772,780,,8,,,,,
,,3:30,3:33,,210,213,,840,852,,12,,,,,
6,6,0:05,0:07,,5,7,,20,28,,8,,29,,,
,,0:13,0:29,,13,29,,52,116,,64,,,,,
,,0:36,0:47,,36,47,,144,188,,44,,,,,
,,0:37,0:47,,37,47,,148,188,,40,,,,,
,,0:42,0:52,,42,52,,168,208,,40,,,,,
,,0:47,1:02,,47,62,,188,248,,60,,,,,
,,0:54,1:01,,54,61,,216,244,,28,,,,,
,,0:57,1:08,,57,68,,228,272,,44,,,,,
,,0:58,1:02,,58,62,,232,248,,16,,,,,
,,1:03,1:05,,63,65,,252,260,,8,,,,,
,,1:06,1:09,,66,69,,264,276,,12,,,,,
,,1:12,1:14,,72,74,,288,296,,8,,,,,
,,1:14,1:19,,74,79,,296,316,,20,,,,,
,,1:23,1:45,,83,105,,332,420,,88,,,,,
