15 min light on (5:40) 5 min light off (),,,,,0 top ,,,340,,,,,,,,
row ,column ,entry time ,exit time,,in video seconds,,,normalized ,,,in time seconds,,,sub time,,mean
,,1:21,1:22,,81,82,,0.2382352941,0.2411764706,,214.4117647,217.0588235,,2.647058824,,
,,2:34,2:38,,154,158,,0.4529411765,0.4647058824,,407.6470588,418.2352941,,10.58823529,,
,,3:05,3:09,,185,189,,0.5441176471,0.5558823529,,489.7058824,500.2941176,,10.58823529,,
,,3:10,3:14,,190,194,,0.5588235294,0.5705882353,,502.9411765,513.5294118,,10.58823529,,
,,3:48,3:54,,228,234,,0.6705882353,0.6882352941,,603.5294118,619.4117647,,15.88235294,,
2,6,1:00,1:04,,60,64,,0.1764705882,0.1882352941,,158.8235294,169.4117647,,10.58823529,,9.705882353
,,1:15,1:18,,75,78,,0.2205882353,0.2294117647,,198.5294118,206.4705882,,7.941176471,,
,,2:20,2:27,,140,147,,0.4117647059,0.4323529412,,370.5882353,389.1176471,,18.52941176,,
,,2:31,2:35,,151,155,,0.4441176471,0.4558823529,,399.7058824,410.2941176,,10.58823529,,
,,2:38,2:40,,158,160,,0.4647058824,0.4705882353,,418.2352941,423.5294118,,5.294117647,,
,,3:07,3:11,,187,191,,0.55,0.5617647059,,495,505.5882353,,10.58823529,,
,,3:53,3:58,,233,238,,0.6852941176,0.7,,616.7647059,630,,13.23529412,,
,,3:57,4:00,,237,240,,0.6970588235,0.7058823529,,627.3529412,635.2941176,,7.941176471,,
,,4:04,4:05,,244,245,,0.7176470588,0.7205882353,,645.8823529,648.5294118,,2.647058824,,
2,7,1:03,1:07,,63,67,,0.1852941176,0.1970588235,,166.7647059,177.3529412,,10.58823529,,8.697478992
,,1:12,1:15,,72,75,,0.2117647059,0.2205882353,,190.5882353,198.5294118,,7.941176471,,
,,1:30,1:33,,90,93,,0.2647058824,0.2735294118,,238.2352941,246.1764706,,7.941176471,,
,,3:03,3:06,,183,186,,0.5382352941,0.5470588235,,484.4117647,492.3529412,,7.941176471,,
,,3:24,3:26,,204,206,,0.6,0.6058823529,,540,545.2941176,,5.294117647,,
,,3:52,3:56,,232,236,,0.6823529412,0.6941176471,,614.1176471,624.7058824,,10.58823529,,
,,4:00,4:04, ,240,244,,0.7058823529,0.7176470588,,635.2941176,645.8823529,,10.58823529,,
2,8,0:19,0:21,,19,21,,0.05588235294,0.06176470588,,50.29411765,55.58823529,,5.294117647,,8.602941176
,,0:27,0:31,,27,31,,0.07941176471,0.09117647059,,71.47058824,82.05882353,,10.58823529,,
,,1:00,1:01,,60,61,,0.1764705882,0.1794117647,,158.8235294,161.4705882,,2.647058824,,
,,1:08,1:12,,68,72,,0.2,0.2117647059,,180,190.5882353,,10.58823529,,
,,3:00,3:03,,180,183,,0.5294117647,0.5382352941,,476.4705882,484.4117647,,7.941176471,,
,,3:26,3:29,,206,209,,0.6058823529,0.6147058824,,545.2941176,553.2352941,,7.941176471,,
,,4:13,4:17,,253,257,,0.7441176471,0.7558823529,,669.7058824,680.2941176,,10.58823529,,
,,4:53,4:58,,293,298,,0.8617647059,0.8764705882,,775.5882353,788.8235294,,13.23529412,,
2,9,0:15,0:19,,15,19,,0.04411764706,0.05588235294,,39.70588235,50.29411765,,10.58823529,,10.58823529
,,0:21,0:28,,21,28,,0.06176470588,0.08235294118,,55.58823529,74.11764706,,18.52941176,,
,,1:01,1:04,,61,64,,0.1794117647,0.1882352941,,161.4705882,169.4117647,,7.941176471,,
,,3:29,3:33,,209,213,,0.6147058824,0.6264705882,,553.2352941,563.8235294,,10.58823529,,
,,3:52,3:56,,232,236,,0.6823529412,0.6941176471,,614.1176471,624.7058824,,10.58823529,,
,,4:17,4:19,,257,259,,0.7558823529,0.7617647059,,680.2941176,685.5882353,,5.294117647,,
2,10,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1
3,1,1:36,1:40,,96,100,,0.2823529412,0.2941176471,,254.1176471,264.7058824,,10.58823529,,5.955882353
,,3:27,3:29,,207,209,,0.6088235294,0.6147058824,,547.9411765,553.2352941,,5.294117647,,
,,4:00,4:02,,240,242,,0.7058823529,0.7117647059,,635.2941176,640.5882353,,5.294117647,,
3,2,1:35,1:36,,95,96,,0.2794117647,0.2823529412,,251.4705882,254.1176471,,2.647058824,,7.941176471
,,4:02,4:04,,242,244,,0.7117647059,0.7176470588,,640.5882353,645.8823529,,5.294117647,,
,,4:25,4:31,,265,271,,0.7794117647,0.7970588235,,701.4705882,717.3529412,,15.88235294,,
3,3,0:11,0:19,,11,19,,0.03235294118,0.05588235294,,29.11764706,50.29411765,,21.17647059,,9.453781513
,,2:08,2:12,,128,132,,0.3764705882,0.3882352941,,338.8235294,349.4117647,,10.58823529,,
,,2:18,2:19,,138,139,,0.4058823529,0.4088235294,,365.2941176,367.9411765,,2.647058824,,
,,3:20,3:22,,200,202,,0.5882352941,0.5941176471,,529.4117647,534.7058824,,5.294117647,,
,,4:36,4:39,,276,279,,0.8117647059,0.8205882353,,730.5882353,738.5294118,,7.941176471,,
,,5:13,5:16,,313,316,,0.9205882353,0.9294117647,,828.5294118,836.4705882,,7.941176471,,
,,5:25,5:29,,325,329,,0.9558823529,0.9676470588,,860.2941176,870.8823529,,10.58823529,,
3,4,0:47,0:55,,47,55,,0.1382352941,0.1617647059,,124.4117647,145.5882353,,21.17647059,,10.58823529
,,1:48,1:52,,108,112,,0.3176470588,0.3294117647,,285.8823529,296.4705882,,10.58823529,,
,,2:20,2:23,,140,143,,0.4117647059,0.4205882353,,370.5882353,378.5294118,,7.941176471,,
,,2:26,2:31,,146,151,,0.4294117647,0.4441176471,,386.4705882,399.7058824,,13.23529412,,
,,3:17,3:20,,197,200,,0.5794117647,0.5882352941,,521.4705882,529.4117647,,7.941176471,,
,,3:42,3:46,,222,226,,0.6529411765,0.6647058824,,587.6470588,598.2352941,,10.58823529,,
,,4:35,4:37,,275,277,,0.8088235294,0.8147058824,,727.9411765,733.2352941,,5.294117647,,
,,5:02,5:06,,302,306,,0.8882352941,0.9,,799.4117647,810,,10.58823529,,
,,5:16,5:19,,316,319,,0.9294117647,0.9382352941,,836.4705882,844.4117647,,7.941176471,,
3,5,0:48,0:57,,48,57,,0.1411764706,0.1676470588,,127.0588235,150.8823529,,23.82352941,,12.62443439
,,0:55,1:01,,55,61,,0.1617647059,0.1794117647,,145.5882353,161.4705882,,15.88235294,,
,,0:58,0:59,,58,59,,0.1705882353,0.1735294118,,153.5294118,156.1764706,,2.647058824,,
,,1:36,1:42,,96,102,,0.2823529412,0.3,,254.1176471,270,,15.88235294,,
,,1:45,1:47,,105,107,,0.3088235294,0.3147058824,,277.9411765,283.2352941,,5.294117647,,
,,3:04,3:06,,184,186,,0.5411764706,0.5470588235,,487.0588235,492.3529412,,5.294117647,,
,,3:14,3:17,,194,197,,0.5705882353,0.5794117647,,513.5294118,521.4705882,,7.941176471,,
,,3:45,3:56,,225,236,,0.6617647059,0.6941176471,,595.5882353,624.7058824,,29.11764706,,
,,4:01,4:06,,241,246,,0.7088235294,0.7235294118,,637.9411765,651.1764706,,13.23529412,,
,,4:23,4:26,,263,266,,0.7735294118,0.7823529412,,696.1764706,704.1176471,,7.941176471,,
,,4:30,4:37,,270,277,,0.7941176471,0.8147058824,,714.7058824,733.2352941,,18.52941176,,
,,5:02,5:06,,302,306,,0.8882352941,0.9,,799.4117647,810,,10.58823529,,
,,5:16,5:19,,316,319,,0.9294117647,0.9382352941,,836.4705882,844.4117647,,7.941176471,,
3,6,0:41,0:44,,41,44,,0.1205882353,0.1294117647,,108.5294118,116.4705882,,7.941176471,,13.23529412
,,0:59,1:05,,59,65,,0.1735294118,0.1911764706,,156.1764706,172.0588235,,15.88235294,,
,,1:01,1:04,,61,64,,0.1794117647,0.1882352941,,161.4705882,169.4117647,,7.941176471,,
,,1:16,1:21,,76,81,,0.2235294118,0.2382352941,,201.1764706,214.4117647,,13.23529412,,
,,1:37,1:45,,97,105,,0.2852941176,0.3088235294,,256.7647059,277.9411765,,21.17647059,,
,,1:56,2:03,,116,123,,0.3411764706,0.3617647059,,307.0588235,325.5882353,,18.52941176,,
,,2:16,2:20,,136,140,,0.4,0.4117647059,,360,370.5882353,,10.58823529,,
,,2:40,2:42,,160,162,,0.4705882353,0.4764705882,,423.5294118,428.8235294,,5.294117647,,
,,3:00,3:03,,180,183,,0.5294117647,0.5382352941,,476.4705882,484.4117647,,7.941176471,,
,,3:06,3:14,,186,194,,0.5470588235,0.5705882353,,492.3529412,513.5294118,,21.17647059,,
,,3:46,3:50,,226,230,,0.6647058824,0.6764705882,,598.2352941,608.8235294,,10.58823529,,
,,4:18,4:23,,258,263,,0.7588235294,0.7735294118,,682.9411765,696.1764706,,13.23529412,,
,,5:09,5:16,,309,316,,0.9088235294,0.9294117647,,817.9411765,836.4705882,,18.52941176,,
3,7,0:36,0:41,,36,41,,0.1058823529,0.1205882353,,95.29411765,108.5294118,,13.23529412,,14.94809689
,,0:40,0:44,,40,44,,0.1176470588,0.1294117647,,105.8823529,116.4705882,,10.58823529,,
,,0:40,0:46,,40,46,,0.1176470588,0.1352941176,,105.8823529,121.7647059,,15.88235294,,
,,0:58,1:02,,58,62,,0.1705882353,0.1823529412,,153.5294118,164.1176471,,10.58823529,,
,,1:03,1:12,,63,72,,0.1852941176,0.2117647059,,166.7647059,190.5882353,,23.82352941,,
